,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
price_egp,18053.0,15346593.533318562,21012703.26379473,325000.0,1100000.0,2500000.0,5419260.0,9290000.0,17500000.0,46051999.99999972,100071564.15999994,442000000.0
area_sqm,18053.0,209.05494931590317,155.2176872630885,21.0,34.0,60.0,127.0,170.0,245.0,455.0,874.4799999999996,2000.0
price_per_sqm,18053.0,69530.42184987453,48742.333901376696,5000.0,8267.964995004995,17948.71282051282,37837.83783783784,60505.416666666664,88709.67741935483,147692.95724974712,240000.0,921666.6666666666
bedrooms_num,18053.0,3.0467512324821358,1.2128033544232932,0.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,7.0
bathrooms_num,18053.0,2.982828338780258,1.3290936616737448,0.0,1.0,1.0,2.0,3.0,4.0,5.0,7.0,7.0
