Model,Validation MAE,Validation RMSE,Validation R2,Median absolute error,Validation MAPE,Training seconds,Prediction seconds,Explainability,Deployment complexity,Main strengths,Main weaknesses
Random Forest,7841039.073192702,23257598.713048827,0.5045112074202092,2711064.193160227,0.4822986469058345,1.0685137170003145,0.05735029199968267,Medium,High,Captures nonlinearities and interactions,Large model and weaker extrapolation
Ridge,8070167.990112878,24728756.18569134,0.43984446059482496,2896385.4654436284,0.5579713336375529,6.926590912999927,0.10444702899985714,High,Medium,"Stable, fast, interpretable linear benchmark",Limited nonlinear interaction capture
CatBoost,8331788.637783233,25328713.313433878,0.41233429538445154,2544900.357703817,0.4224163989176321,6.326481597000566,0.047850119000031555,Medium,Medium,Strong native handling of high-cardinality categories and nonlinear effects,More complex deployment and explanation than linear models
Median baseline,10651776.721199257,29221918.01628844,0.21779331046121175,3837335.854398799,0.8045628181058588,0.005016345000512956,0.0014123099999778788,High,Low,Transparent and robust location/property-type benchmark,Cannot model nonlinear interactions or unit characteristics
