feature,mean_abs_shap_log_price
area_sqm,0.23086533299132225
property_type,0.18443470597241343
completion_status,0.11871370381014479
bathrooms_num,0.0929026417152726
district,0.07783224762244703
payment_method,0.07391851690825683
furnished,0.07013534669820679
submarket_or_compound,0.053885095187442195
lon,0.04692925660907285
bedrooms_per_100_sqm,0.045237151982627205
lat,0.02826236332164914
amenities_count,0.027769275702581427
town,0.026522576938588206
compound_status,0.024811425576984535
listing_age_days,0.019833018001699204
market_region,0.015385376307454632
listing_level,0.015114132831710963
bedrooms_num,0.009968763604839571
images_count,0.008997465998881498
bathrooms_per_100_sqm,0.006723202063507898
is_premium,0.0056848239143249945
new_city_indicator,0.0041210515333455445
is_featured,0.00014193013452809352
has_view_360,0.0
