market_region,sample_size,mae_egp,median_ae_egp,mape
Cairo,1199,5213232.410159335,2299300.15537343,0.3245775080473107
Giza,882,3883446.3268163493,2039098.952995418,0.3335948849348004
North Coast,423,13447222.453023527,4460056.8008942045,0.42120486940471313
Alexandria,88,2069397.2944871078,1352214.9891425557,0.22971405784762622
Suez,77,2389878.2938434826,1924042.4237063155,0.5925828157753639
Red Sea,63,2299465.930697866,642052.3942177799,0.1524197673928305
Qalyubia,7,958221.4728429427,1047563.0029524434,0.33259205172115236
