town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
6 October City,Nyoum October,34,7000000.0,41044.77611940299,3
Sheikh Zayed City,Arkan Palm 205,34,10250000.0,72871.50837988827,1
Sheikh Zayed City,Terrace Compound,33,6250000.0,46056.281879194634,1
Hay El Maadi,Unknown,33,11500000.0,43478.260869565216,3
Sheikh Zayed City,Rivers,33,8000000.0,55527.5,5
Sheikh Zayed City,Naia West,32,12000000.0,71769.805033676,4
Sheikh Zayed City,MarVille New Zayed,32,10922500.0,66421.98795180723,1
6 October City,October Plaza,32,8000000.0,48500.386996904024,2
Sheikh Zayed City,V Levels,32,9863700.0,40902.442570514686,5
New Cairo City,South Lotus,31,5500000.0,32432.432432432433,2
New Cairo City,El Banafseg Apartment Buildings,31,7300000.0,34883.72093023256,2
New Cairo City,Bellagio,30,32500000.0,66427.4661508704,2
Sheikh Zayed City,Casa,30,12650000.0,64102.5641025641,2
New Cairo City,South Teseen St.,30,3400000.0,26461.53846153846,4
Sheikh Zayed City,Lake West,29,10456000.0,43028.80658436214,4
Mostakbal City - Future City,Capital Gardens   Palm Hills,29,6000000.0,32738.095238095237,2
6 October City,Jannat October,29,2900000.0,20714.285714285714,1
6 October City,Garden Lakes,29,8100000.0,75700.93457943926,4
6 October City,Mountain View October Park,27,9000000.0,55749.128919860625,3
6 October City,Pyramids Hills,26,7000000.0,36050.98605098605,3
Alexandria Compounds,Waterfront,26,9715500.0,61850.0,2
Sheikh Zayed City,The Address,26,6500000.0,57027.93372586608,1
Sheikh Zayed City,Sodic West,25,6400000.0,38357.64705882353,4
Sheikh Zayed City,The Courtyards,25,16000000.0,91447.36842105263,2
New Cairo City,Hyde Park Central,25,12000000.0,91509.43396226416,4
6 October City,Palm Hills WoodVille,25,21000000.0,77037.03703703704,3
Sheikh Zayed City,Janna 2,25,4900000.0,35714.28571428572,1
Sheikh Zayed City,Green Revolution,24,5481500.0,36637.93103448276,2
Mostakbal City - Future City,Croons Sarai,24,6100000.0,41877.34544736322,3
Sheikh Zayed City,Alma,24,17000000.0,69288.38951310862,3
Hay El Maadi,Cornish El Nile St.,24,8250000.0,51759.259259259255,2
Badr City,Unknown,24,1450000.0,12041.666666666668,1
Sheikh Zayed City,Westview Residence,23,6100000.0,52019.24,1
Sheikh Zayed City,Atrio,23,15750000.0,66176.4705882353,4
Hurghada,Atalantis,23,4629500.0,50100.0,2
Hurghada,Swan Lake Gouna,23,18100000.0,140307.50819672132,6
Hurghada,Storia Del Mare,23,6633072.0,100000.0,2
New Capital City,IL Bosco,22,6000000.0,38357.28120978121,3
Hay Sharq,Unknown,22,5700000.0,31660.23166023166,1
6 October City,Rock Eden,22,4999999.5,30629.815705128203,2
Al Alamein,The Gate Towers,22,11575000.0,100387.59689922481,2
6 October City,One33,22,6972500.0,52020.81118881119,3
New Cairo City,Palm Hills Village Gate,21,7600000.0,59659.09090909091,3
