listing_id,category,listing_type,property_type,offering_type,completion_status,title,price_egp,price_period,price_currency,location_full,city,town,district,subdistrict,lat,lon,bedrooms,bathrooms,area_value,area_unit,furnished,is_new_construction,is_direct_from_dev,listed_date,payment_method,agent_name,detail_url
F7QB31CGWE509V2W7DF2GARB2C,buy,property,Duplex,Residential for Sale,completed,Garden Villa - Lake View Boutique - Prime Location,24500000.0,sell,EGP,"The Lakeview Boutique Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,30.04060173034668,31.525941848754883,3,6,445.0,sqm,,False,False,2026-03-03T19:15:06Z,cash,pierre osama,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-lakeview-boutique-villas-2PsRH7FgVjU.html
K1JC3D6N57ED52N3VX1QQKHHXG,buy,property,Apartment,Residential for Sale,off_plan,For Sale: Finished Apartment+ ACs in Village West,5145000.0,sell,EGP,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Village West,30.048093795776367,31.02005386352539,2,2,123.0,sqm,PARTLY,False,False,2026-03-04T11:24:23Z,cash,Rana Bahaa ElDeen,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-village-west-2PtYXB31sjw.html
TJWZSKES1XZEQZ01EYX0WEHYN0,buy,property,Land,Residential for Sale,,Land for Sale in Fifth Settlement - Beit Al Watan,23000000.0,sell,EGP,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,Bait Alwatan,30.06067657470703,31.55145835876465,,,765.0,sqm,,False,False,2026-02-28T14:54:14Z,cash,شركة البحيري جروب البحيري للتطوير والتسويق العقاري El-Behairy Group,https://www.propertyfinder.eg/en/plp/buy/land-for-sale-cairo-new-cairo-city-the-5th-settlement-bait-alwatan-2Pn9vG5j4U4.html
WQXMKW11YEDP8NMTJ03F7AR91C,rent,property,Apartment,Residential for Rent,,Semi furnished apartment for rent in Village Gate,35000.0,monthly,EGP,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",Cairo,New Cairo City,South Investors Area,Palm Hills Village Gate,30.010927200317383,31.49662208557129,2,2,146.0,sqm,PARTLY,False,False,2026-03-04T09:59:19Z,,Halla Fathy,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-south-investors-area-palm-hills-village-gate-2PtSSR4aWNk.html
S568KQ9Q8ME7XPBF95PR5WK8KC,rent,property,Apartment,Residential for Rent,,"Unfurnished apartment for rent in New Lotus, Fifth",25000.0,monthly,EGP,"New Lotus, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,New Lotus,30.032323837280277,31.52247428894043,3,3,250.0,sqm,NO,False,False,2026-02-23T11:15:18Z,,منا جمعة ,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-new-lotus-2Pebl5O6pHc.html
